,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
4,4,MLP,0.4628099173553719,0.4690896503980616,0.4690896503980616,0.4628099173553718,MoPoEVAE,700
5,5,Extra,0.5330578512396694,0.5245798319327731,0.5242990654205607,0.5242105263157895,MoPoEVAE,700
6,6,KNN,0.5247933884297521,0.5206043956043955,0.5207684319833853,0.5204617902989576,MoPoEVAE,700
0,0,LR,0.4380165289256198,0.4398632478632479,0.4391138802353755,0.4370552818828681,MoPoEVAE,70
1,1,SVM,0.5537190082644629,0.5527772084443534,0.553478712357217,0.5517596213212596,MoPoEVAE,70
2,2,RF,0.5165289256198347,0.5066901408450705,0.506576670128072,0.5061999686077538,MoPoEVAE,70
3,3,NB,0.4834710743801653,0.4810481663929939,0.4808238144686743,0.4802673401714687,MoPoEVAE,70
4,4,MLP,0.4504132231404958,0.5219827586206897,0.5035306334371755,0.3452141186044146,MoPoEVAE,70
5,5,Extra,0.4793388429752066,0.4743827797262911,0.4742125302872966,0.4741670690487687,MoPoEVAE,70
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,MoPoEVAE,70
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,MoPoEVAE,7
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,MoPoEVAE,7
2,2,RF,0.5082644628099173,0.515677025527192,0.5156455520941502,0.5082560661168314,MoPoEVAE,7
3,3,NB,0.5495867768595041,0.2770833333333333,0.4925925925925926,0.3546666666666666,MoPoEVAE,7
4,4,MLP,0.4669421487603306,0.4277383367139959,0.440809968847352,0.4226907073509015,MoPoEVAE,7
5,5,Extra,0.5206611570247934,0.5245935377649722,0.5248182762201453,0.5203663203936577,MoPoEVAE,7
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,MoPoEVAE,7
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mVAE,21
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,mVAE,21
2,2,RF,0.4917355371900826,0.4893267651888341,0.4892004153686397,0.4885830627287253,mVAE,21
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mVAE,21
4,4,MLP,0.4504132231404958,0.4931818181818181,0.4977154724818276,0.3730692066460195,mVAE,21
5,5,Extra,0.5165289256198347,0.5151038819026791,0.5152994115610938,0.5141312741312742,mVAE,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mVAE,21
0,0,LR,0.5495867768595041,0.5125166889185581,0.5051921079958462,0.4401358378435742,mVAE,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,mVAE,3500
2,2,RF,0.4834710743801653,0.4769900497512438,0.4769470404984424,0.476960318146451,mVAE,3500
3,3,NB,0.4876033057851239,0.4923320266831718,0.4922810661128418,0.4874632779941245,mVAE,3500
4,4,MLP,0.5371900826446281,0.4719078816756006,0.4902042229145033,0.411038678835289,mVAE,3500
5,5,Extra,0.4793388429752066,0.4711852624261383,0.4713049498096227,0.4712125416204217,mVAE,3500
6,6,KNN,0.5661157024793388,0.5629797149122807,0.5636206299757701,0.5628236670509092,mVAE,3500
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mVAE,350
1,1,SVM,0.5413223140495868,0.5163003663003662,0.5123226029768085,0.4925858063053703,mVAE,350
2,2,RF,0.4545454545454545,0.4378292559717111,0.4403599861543786,0.4376056338028169,mVAE,350
3,3,NB,0.4545454545454545,0.4564102564102564,0.4558670820353063,0.4536124794745484,mVAE,350
4,4,MLP,0.4421487603305785,0.2210743801652892,0.5,0.3065902578796561,mVAE,350
5,5,Extra,0.4421487603305785,0.4239130434782608,0.4273104880581516,0.4239619148373446,mVAE,350
6,6,KNN,0.5702479338842975,0.5675453611776788,0.5682935271720317,0.5672924833230176,mVAE,350
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mVAE,700
1,1,SVM,0.5619834710743802,0.6136680613668062,0.5056420906888196,0.3764705882352941,mVAE,700
2,2,RF,0.512396694214876,0.4968789013732834,0.4970578054690204,0.4941184807256236,mVAE,700
3,3,NB,0.4380165289256198,0.4389560702329712,0.4381446867428176,0.4366312906538857,mVAE,700
4,4,MLP,0.4132231404958678,0.4211344211344211,0.4227068189685011,0.4125811965811966,mVAE,700
5,5,Extra,0.4834710743801653,0.46901955146636,0.4701626860505364,0.4682066698310567,mVAE,700
6,6,KNN,0.5454545454545454,0.5464234474277516,0.5470404984423676,0.5443341321465252,mVAE,700
0,0,LR,0.4421487603305785,0.4444444444444444,0.4437867774316372,0.4413761263957048,mVAE,70
1,1,SVM,0.5537190082644629,0.5537190082644627,0.554447905849775,0.552220394736842,mVAE,70
2,2,RF,0.4917355371900826,0.484322974472808,0.4843544479058498,0.4843303362611091,mVAE,70
3,3,NB,0.4958677685950413,0.4837539992890153,0.4841813776393215,0.4831232492997198,mVAE,70
4,4,MLP,0.4462809917355372,0.5550906555090656,0.5027345102111457,0.3208511351260786,mVAE,70
5,5,Extra,0.4752066115702479,0.4664158305462653,0.466632052613361,0.4664514001006892,mVAE,70
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mVAE,70
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mVAE,7
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,mVAE,7
2,2,RF,0.4876033057851239,0.4751510842516885,0.4758047767393561,0.4746498599439775,mVAE,7
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mVAE,7
4,4,MLP,0.4793388429752066,0.4345620867675029,0.4499826929733472,0.425632911392405,mVAE,7
5,5,Extra,0.4958677685950413,0.4814894998917515,0.4822429906542056,0.4802112676056338,mVAE,7
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mVAE,7
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,21
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,mvtCAE,21
2,2,RF,0.5082644628099173,0.5077868852459017,0.5078920041536863,0.5063679528274396,mvtCAE,21
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,21
4,4,MLP,0.4504132231404958,0.4931818181818181,0.4977154724818276,0.3730692066460195,mvtCAE,21
5,5,Extra,0.5206611570247934,0.5197103231536517,0.5199723087573555,0.5185566303080195,mvtCAE,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mvtCAE,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,mvtCAE,3500
2,2,RF,0.5371900826446281,0.5317651927985101,0.5318795430944964,0.5317855168601437,mvtCAE,3500
3,3,NB,0.4545454545454545,0.4598882527419466,0.4597438560055382,0.4545081967213115,mvtCAE,3500
4,4,MLP,0.5289256198347108,0.4478856462179869,0.4818276220145379,0.4005215123859191,mvtCAE,3500
5,5,Extra,0.4917355371900826,0.4822128851540616,0.4824160609207338,0.4821052631578947,mvtCAE,3500
6,6,KNN,0.5413223140495868,0.5408469945355191,0.5413984077535479,0.5395533005365193,mvtCAE,3500
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,350
1,1,SVM,0.5826446280991735,0.5710600375234521,0.5629283489096573,0.5581307059567929,mvtCAE,350
2,2,RF,0.4793388429752066,0.4627028600538534,0.4645205953617168,0.4615384615384615,mvtCAE,350
3,3,NB,0.4876033057851239,0.4885563981690237,0.4884042921426099,0.4863402944197192,mvtCAE,350
4,4,MLP,0.4421487603305785,0.2210743801652892,0.5,0.3065902578796561,mvtCAE,350
5,5,Extra,0.4710743801652892,0.4604311494979285,0.4609899619245413,0.4604236343366779,mvtCAE,350
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mvtCAE,350
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,700
1,1,SVM,0.5619834710743802,0.558893657606104,0.5085496711664935,0.3990817091454273,mvtCAE,700
2,2,RF,0.4504132231404958,0.4385211267605634,0.4395638629283489,0.4386717591865919,mvtCAE,700
3,3,NB,0.4380165289256198,0.4370431099268975,0.4362062997577016,0.4355491527749193,mvtCAE,700
4,4,MLP,0.4214876033057851,0.4285115596842914,0.4291450328833506,0.4213295074127212,mvtCAE,700
5,5,Extra,0.4917355371900826,0.4752923976608187,0.4766008999653859,0.4735315445975344,mvtCAE,700
6,6,KNN,0.5330578512396694,0.5325819672131147,0.5330218068535826,0.5312569636092493,mvtCAE,700
0,0,LR,0.4297520661157025,0.4332853124785621,0.4326756663205261,0.4294013121924549,mvtCAE,70
1,1,SVM,0.5537190082644629,0.5537190082644627,0.554447905849775,0.552220394736842,mvtCAE,70
2,2,RF,0.4297520661157025,0.4256019757151677,0.4249221183800623,0.4249999999999999,mvtCAE,70
3,3,NB,0.5,0.4927164261931188,0.4927310488058152,0.4927152088422293,mvtCAE,70
4,4,MLP,0.4545454545454545,0.5805471124620061,0.5091727241259951,0.3422288114652829,mvtCAE,70
5,5,Extra,0.4958677685950413,0.4890273451021114,0.4890273451021114,0.4890273451021114,mvtCAE,70
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mvtCAE,70
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,7
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,mvtCAE,7
2,2,RF,0.5289256198347108,0.519036519036519,0.5186569747317411,0.5182649996507649,mvtCAE,7
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,mvtCAE,7
4,4,MLP,0.5082644628099173,0.4657210401891253,0.4759086188992731,0.4462242562929062,mvtCAE,7
5,5,Extra,0.5041322314049587,0.4912996777658431,0.491588785046729,0.4902043395828944,mvtCAE,7
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,mvtCAE,7
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,wAAE,21
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,wAAE,21
2,2,RF,0.5330578512396694,0.5220462328767124,0.5213914849428868,0.5206072611889276,wAAE,21
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,wAAE,21
4,4,MLP,0.5619834710743802,0.558893657606104,0.5085496711664935,0.3990817091454273,wAAE,21
5,5,Extra,0.5165289256198347,0.5076330532212885,0.5075458636206299,0.5073684210526316,wAAE,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,wAAE,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,wAAE,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,wAAE,3500
2,2,RF,0.4173553719008264,0.4044366197183098,0.4060574593284873,0.404907654476011,wAAE,3500
3,3,NB,0.4586776859504132,0.4636363636363636,0.4634475597092419,0.4585944838186321,wAAE,3500
4,4,MLP,0.5495867768595041,0.5430771365149833,0.5429906542056074,0.5430244443289504,wAAE,3500
5,5,Extra,0.4752066115702479,0.4589855072463767,0.4608168916580131,0.4580975050692056,wAAE,3500
6,6,KNN,0.5413223140495868,0.5408469945355191,0.5413984077535479,0.5395533005365193,wAAE,3500
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,wAAE,350
1,1,SVM,0.5785123966942148,0.5750154352747479,0.5757009345794393,0.575,wAAE,350
